date | value
2011-01-03 | 10
2011-01-03 | 20
2011-01-09 | 1
2012-01-11 | 0
2011-01-03 | 1000
2011-01-03 | 0.5
2011-01-04 | 10
2011-01-10 | 10
2012-01-01 | 10
2012-01-11 | -1
2012-01-11 | -0.1
2012-01-11 | -2147483648
2011-01-03 | 1001
2011-01-03 | 1000.1
2011-01-03 | 2147483648
2001-42-42
2012-01-11 |
| 10
2012-01-11 | abc
2012-01-11 | 12abc
2012-01-11 | 12..5
2011-01-03 | .5
   2011-01-03    |    5
2011-01-03|5
2011-01-03    |5
2005-01-01 | 10
1999-12-31 | 10
2023-01-01 | 1
2011-02-28 | 1
2011-02-29 | 1
2012-02-29 | 1
2011-04-31 | 1
2011-13-01 | 1
2011-00-01 | 1
2011-01-32 | 1
2011-01-00 | 1
2011/01/01 | 1
2011.01.01 | 1
invalid_date | 1
